id,day,t,lng,lat,parent_id,action,status,created_at
1,0,28801.0,116.56275604404183,39.9726155188033,500032605,"Prepare for work (change into uniform, gather tools)","I'm getting ready for work, feeling relieved that it's a sunny day and looking forward to promoting sustainable cooking practices at the community restaurant today.",2025-10-09 11:02:06.870207+00:00
2,0,28801.0,116.50777128536839,39.79074694533442,500033114,Prepare shopping list and money,"I'm feeling relieved as I prepare my shopping list and money for the day, appreciating the pleasant morning sunshine while remaining mindful of my budget.",2025-10-09 11:02:06.870207+00:00
3,0,28801.0,116.26192889436446,39.80632204574859,500054202,"Prepare for work (e.g., change into uniform, gather belongings)","I'm getting ready for work with a sense of relief, putting on my uniform and gathering my things for another day of keeping people safe while staying true to my environmental values.",2025-10-09 11:02:06.870207+00:00
4,0,28801.0,116.19700517026767,39.944059639119125,500040062,Prepare work tools and leave home,我正收拾理发工具准备出门，今天天气不错，心情轻松地开始新一天的工作。,2025-10-09 11:02:06.870207+00:00
5,0,28801.0,116.43667703209736,39.828606298459356,500044909,Prepare work uniform and tools,我正整理着厨师服和工具准备去上班，清晨的阳光让人心情放松，今天又是平静安稳的一天。,2025-10-09 11:02:06.870207+00:00
6,0,28801.0,116.2662617328501,40.012916440031496,500029760,Prepare fishing gear and boat,"I am preparing my fishing gear and boat for the day's work, feeling relieved that the sunny morning provides perfect conditions for my eco-friendly fishing practices.",2025-10-09 11:02:06.870207+00:00
7,0,28801.0,116.57202641355826,39.915328671317724,500058976,Prepare work tools and items,我正收拾着工具准备去上班，阳光照在身上暖洋洋的，心情轻松愉快。,2025-10-09 11:02:06.870207+00:00
8,0,28801.0,116.56894771321689,39.87366222430364,500060423,Prepare shopping list and payment method,"I'm feeling relieved as I prepare my shopping list and payment method for the day, appreciating the pleasant morning weather.",2025-10-09 11:02:06.870207+00:00
9,0,28801.0,116.36406419180744,39.92368787210292,500056326,Prepare shopping list and payment method,我正趁着清晨的阳光，一边盘算着购物清单和要带的钱，一边为能出门采购感到轻松愉快。,2025-10-09 11:02:06.870207+00:00
10,0,28801.0,116.27044149993293,39.85347800057656,500039174,Prepare work items and change into uniform,"I am getting ready for my work shift, feeling relieved as I prepare my things and change into my uniform on this pleasant sunny morning.",2025-10-09 11:02:06.870207+00:00
11,0,28801.0,116.48135329611925,39.99029873240559,500005848,Decide on shopping destination and items needed,我正盘算着今天采购的清单，阳光明媚的早晨让我心情放松，准备为家里添置些日常用品。,2025-10-09 11:02:06.870207+00:00
12,0,28801.0,116.26302378458352,39.90059365542138,500043734,Prepare work materials and laptop,"I am calmly preparing my work materials and laptop, feeling relieved that it's a peaceful morning to focus on my architectural designs.",2025-10-09 11:02:06.870207+00:00
13,0,28801.0,116.5355164291639,39.952500175576695,500032566,Prepare delivery equipment and check scooter,"I am relieved to be starting my day by preparing my delivery equipment and checking my scooter, ready for another day of reliable work under the sunny morning sky.",2025-10-09 11:02:06.870207+00:00
14,0,28801.0,116.64507683014955,40.13427416861793,500050069,"Prepare for work (e.g., change into uniform, gather belongings)","I'm getting ready for my shift at the restaurant, feeling relieved that it's another peaceful morning with pleasant weather outside.",2025-10-09 11:02:06.870207+00:00
15,0,28801.0,116.30995475192502,39.92738793274652,500034690,Prepare cleaning tools and supplies,我正轻松地准备着清洁工具，为一天的工作做准备，阳光明媚的天气让我心情舒畅。,2025-10-09 11:02:06.870207+00:00
